,Fecha,Tipo de cambio de las principales monedas - promedio del período (S/ por UM) - Dólar Americano (US$),Tipo de cambio de las principales monedas - promedio del período (S/ por UM) - Euro (E),Tipo de cambio de las principales monedas - promedio del período (S/ por UM) - Yen  (¥),Tipo de cambio de las principales monedas - promedio del período (S/ por UM) - Real Brasileño (R),Tipo de cambio de las principales monedas - promedio del período (S/ por UM) - Libra Esterlina (£),Tipo de cambio de las principales monedas - promedio del período (S/ por UM) - Peso Chileno ($),Tipo de cambio de las principales monedas - promedio del período (S/ por UM) - Yuan Chino,Tipo de cambio de las principales monedas - promedio del período (S/ por UM) - Peso Colombiano ($),Tipo de cambio de las principales monedas - promedio del período (S/ por UM) - Peso Mexicano ($),Tipo de cambio de las principales monedas - promedio del período (S/ por UM) - Franco Suizo ($),Tipo de cambio de las principales monedas - promedio del período (S/ por UM) - Dólar Canadiense (Can$)
47,Dic.1995,2.32231578947368,2.96211378947368,0.0228091736734805,2.39908655937364,3.57452007045385,0.00567831138313288,0.279272185948541,0.00235183589248601,0.302988478280126,1.99547666630035,1.69577900122274
48,Ene.1996,2.34715909090909,2.95788988636364,0.0221773663796443,2.40734265734266,3.59138716565789,0.0057453775509977,0.282157946157898,0.00232135904224181,0.31275438264965,1.98748409435387,1.71758581006818
49,Feb.1996,2.35359523809524,2.94905483333333,0.0222613772277761,2.39917965147323,3.61528202911991,0.00572692711899953,0.283115435463508,0.00228584907197918,0.31363706165817,1.96887672586184,1.71108341555452
50,Mar.1996,2.35528571428571,2.95305722857143,0.0222581369306219,2.38848566502963,3.59691244630994,0.00572296370862766,0.28278472718915,0.00225359192782426,0.310986283179164,1.96933536872332,1.72505675648084
51,Abr.1996,2.363875,2.9387694,0.0219970384316213,2.38727024843466,3.58197184309121,0.00578785319034327,0.283727420032407,0.00224931106448376,0.316394067966753,1.93774540744809,1.7393004775736
52,May.1996,2.40913636363636,2.95914219545455,0.0226324722141897,2.42051277367263,3.64852635462254,0.00593047377996791,0.28925371765877,0.00225943183301705,0.324048202789208,1.92116137451066,1.75971978405565
53,Jun.1996,2.43935,3.019671365,0.0224085526473528,2.43618296214921,3.76205032830168,0.00595181163840429,0.293103033944127,0.00227554044260421,0.323410514252349,1.940643446992,1.78642177378899
54,Jul.1996,2.44436363636364,3.07256509090909,0.0223590036060296,2.4276131059327,3.79763363442758,0.0059514112689025,0.293935021207748,0.00229712029299117,0.32066059326026,1.98084573449241,1.78505988855014
55,Ago.1996,2.46535714285714,3.12730553571429,0.0228799582490314,2.43275818320223,3.82041426112749,0.00599697675226744,0.296741390071995,0.00235877043949931,0.328097462484814,2.04879595025192,1.79713208834625
56,Sep.1996,2.49040476190476,3.13193302857143,0.0226925931468824,2.44325003620599,3.88309711189554,0.00604702010952011,0.299893400034291,0.00239264258231275,0.330086651809186,2.02208895900029,1.81881603504469
57,Oct.1996,2.55370454545455,3.20157938863636,0.0227276914266778,2.49141906873614,4.04762944482724,0.00614536047516435,0.307678953415649,0.00251404102304221,0.332292949402681,2.02939106889487,1.89074174299183
58,Nov.1996,2.5832,3.280664,0.0230114825801509,2.50698757763975,4.29523416400522,0.00615003690212604,0.311255166098346,0.00258737446996985,0.326206922678655,2.02675454081833,1.93010901320263
59,Dic.1996,2.58338095238095,3.20985083333333,0.0227080987692755,2.4904858308888,4.29961095071243,0.00611581390682264,0.311288221759363,0.00258112659641165,0.32797757339761,1.94670958319653,1.89701314229976
60,Ene.1997,2.62525,3.1755024,0.0222445069773314,2.51725956467542,4.35702674602837,0.00619469548597183,0.316436242662392,0.00255407806075889,0.33528525268522,1.88380370123207,1.94662868751646
61,Feb.1997,2.638125,3.0578506875,0.0214467025915787,2.51417611741161,4.28895070379029,0.00633875153175232,0.318118511015447,0.00245580047855121,0.338542335035803,1.81502796716868,1.94666838842975
62,Mar.1997,2.63315789473684,3.01707231578947,0.0214703677746971,2.4918689265987,4.22684723495584,0.0063595167123218,0.317412381684107,0.0024793249547942,0.330682410048832,1.79741420966767,1.91944213023931
63,Abr.1997,2.66086363636364,3.0323202,0.0212007323540364,2.50811917839913,4.3342972869535,0.00637210507295281,0.320752153086977,0.00250871271868793,0.336660505378954,1.82014066376882,1.90882233769995
64,May.1997,2.66366666666667,3.04483736666667,0.0223853656239501,2.49336952791039,4.35035689340399,0.00636312239713974,0.32119845490319,0.00247839545372145,0.336929894464332,1.85989461140282,1.92953407711355
65,Jun.1997,2.65564285714286,3.00193868571429,0.0232533485441092,2.47128499641062,4.36548037984928,0.00636386977508473,0.320261798234809,0.00245483717613501,0.334190254469623,1.84144704582939,1.91884482228273
66,Jul.1997,2.65161904761905,2.91625062857143,0.0230259773085039,2.45361251746002,4.43098963296752,0.0063647513204653,0.319815108685102,0.00240532332037373,0.336256647807937,1.78956681646142,1.92550307645055
67,Ago.1997,2.65367380952381,2.83757340452381,0.0225076503571074,2.43926262480357,4.25428053753945,0.00639670678443729,0.320128574990205,0.002344866187931,0.34090076301322,1.7522012898974,1.90849998886965
68,Sep.1997,2.64406818181818,2.90345127045455,0.0218979499179153,2.41776534548115,4.22934023660658,0.0063727842415478,0.319054467349428,0.00216417635799643,0.339889472158857,1.79474228858914,1.9064453943069
69,Oct.1997,2.66259090909091,2.97784167272727,0.0219941427702035,2.4203171612498,4.34271357191337,0.00642501606884706,0.321421438119089,0.00210815900470336,0.340860938489779,1.83304595992627,1.92012299234624
70,Nov.1997,2.7197,3.10562543,0.0217100307174943,2.45615461031338,4.58999460160469,0.00639989646084338,0.328422552559443,0.00210139661707364,0.328317489059907,1.93252470991168,1.92442592517942
71,Dic.1997,2.71640476190476,3.02037045476191,0.0209952974906069,2.43930025314724,4.51297459131105,0.00619773383354574,0.328084057430886,0.00209415813233305,0.333874724914548,1.88876627003717,1.90397754391586
72,Ene.1998,2.7442619047619,2.98273826428571,0.0211989676590702,2.45045263395116,4.48755141347307,0.00605276231227399,0.331468626391988,0.00207458345958955,0.335492543187108,1.85960880435442,1.90466605920413
73,Feb.1998,2.798225,3.0481064925,0.0222078599661782,2.48267678111969,4.58726650654055,0.00623865739192473,0.337986616902804,0.00207873384829984,0.329466514387981,1.91166926272066,1.95138322280104
